"","date","language_x","userid","level","word","guess","success","flight","success_rate","offered","id","rank","pos","tf","idf","level1","level2","psuccess","lemma","lemmaTF","bucket","model_prediction","model_correct","dob","country","language_y","age","syl"
"1",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",1,"came","vino","True"," noflight",39.13043478,23,10421,87,"VBD",108,0.787234043,1,1,90.90909091,"come",3414297,7,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"2",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",3,"his","su","True"," noflight",34.61538462,26,10429,45,"PRP$",4092,0.978723404,1,3,90.90909091,"his",28408939,7,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"3",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",5,"danced","dansado","False"," noflight",22.22222222,18,17481,3215,"VBN",4,0.021276596,2,5,81.81818182,"dance",33350,8,"True","False",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"4",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",5,"along","a lo largo","True"," noflight",11.11111111,18,12278,463,"IN",246,0.765957447,1,5,90.90909091,"along",3135859,9,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,2
"5",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",1,"pile","pila","True"," noflight",30.43478261,23,12500,7798,"NN",88,0.510638298,2,1,81.81818182,"pile",159198,7,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"6",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",5,"last","Ãºltimo","True"," noflight",27.27272727,22,12180,152,"JJ",305,0.957446809,1,5,90.90909091,"last",7935918,8,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"7",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",2,"cry","llorar","True"," noflight",83.33333333,30,10820,6156,"NN",69,0.595744681,2,2,81.81818182,"cry",128772,2,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"8",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",1,"finger","dedo","True"," noflight",60.71428571,28,10231,1882,"NN",73,0.446808511,2,1,81.81818182,"finger",368540,4,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,2
"9",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",3,"listening","escuchando","True"," noflight",55.55555556,54,16627,1173,"VBG",43,0.510638298,2,3,81.81818182,"listen",363707,5,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,3
"10",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",3,"listening","escuchando","True"," noflight",55.55555556,54,12520,8039,"VBG",43,0.510638298,2,3,81.81818182,"listen",363707,5,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,3
"11",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",7,"wide","not","False"," noflight",44.44444444,27,12674,7405,"JJ",60,0.404255319,2,7,81.81818182,"wide",1617268,6,"True","False",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"12",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",1,"until","hasta","True"," noflight",37.5,16,12253,343,"IN",201,0.808510638,1,1,90.90909091,"until",4071073,7,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,2
"13",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",6,"followed","seguido","True"," noflight",26.08695652,23,12537,250,"VBD",57,0.489361702,2,6,81.81818182,"follow",1140445,8,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,2
"14",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",6,"charms","encantos","True"," noflight",30,20,17855,12773,"N",0,0,2,6,81.81818182,"charm",45384,7,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,1
"15",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",2,"hearing","audiciÃ³n","True"," noflight",40.90909091,22,12553,375,"NN",38,0.489361702,2,2,81.81818182,"hear",386287,6,"True","True",2007-01-01,"Colombia","Spanish",11.8688431231896,2
"16",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",5,"reacted","reaccionar","False"," noflight",0,26,17527,3320,"V",0,0,2,5,81.81818182,"react",41308,10,"True","False",2007-01-01,"Colombia","Spanish",11.8688431231896,3
"17",2018-11-14,"es","78e160e8-5983-4675-bc50-7507ffd930ff",11,"guessing","adivinacion","False"," noflight",13.63636364,22,16691,5418,"VBG",4,0.085106383,1,11,0,"guess",129543,9,"False","True",2007-01-01,"Colombia","Spanish",11.8688431231896,2
